time,open,high,low,close,tick_volume,spread,real_volume
2025-04-08 12:00:00,3007.34,3007.79,2994.74,3006.92,9124,20,0
2025-04-08 13:00:00,3006.93,3010.24,3004.01,3008.88,7794,20,0
2025-04-08 14:00:00,3008.82,3019.35,3008.61,3017.34,9455,20,0
2025-04-08 15:00:00,3017.33,3019.44,3002.35,3002.46,14571,20,0
2025-04-08 16:00:00,3002.53,3022.64,3002.5,3009.96,23281,20,0
2025-04-08 17:00:00,3010.1,3018.25,3005.91,3006.07,20963,20,0
2025-04-08 18:00:00,3006.06,3012.29,3001.21,3001.47,15364,20,0
2025-04-08 19:00:00,3001.4,3001.49,2984.36,2986.06,16935,20,0
2025-04-08 20:00:00,2986.07,2987.45,2974.77,2985.12,19657,20,0
2025-04-08 21:00:00,2985.11,2992.3,2979.26,2983.5,13971,20,0
2025-04-08 22:00:00,2983.44,2987.5,2976.58,2984.82,14061,20,0
2025-04-08 23:00:00,2984.82,2986.54,2977.04,2982.55,5233,20,0
2025-04-09 01:00:00,2982.39,2985.31,2980.09,2982.37,3679,35,0
2025-04-09 02:00:00,2982.37,2990.93,2969.93,2978.77,7587,20,0
2025-04-09 03:00:00,2978.47,2986.99,2974.65,2980.2,18367,20,0
2025-04-09 04:00:00,2980.35,3009.75,2972.35,3008.5,23926,18,0
2025-04-09 05:00:00,3008.52,3011.06,2999.9,3002.84,14362,20,0
2025-04-09 06:00:00,3002.79,3009.71,3002.42,3004.41,11736,20,0
2025-04-09 07:00:00,3004.41,3014.07,2999.54,3012.24,14594,20,0
2025-04-09 08:00:00,3012.24,3020.46,3005.34,3015.41,16477,20,0
2025-04-09 09:00:00,3015.41,3040.85,3014.71,3038.98,19898,20,0
2025-04-09 10:00:00,3038.87,3052.2,3034.31,3040.93,16273,20,0
2025-04-09 11:00:00,3040.92,3051.22,3038.14,3044.13,12418,20,0
2025-04-09 12:00:00,3044.08,3049.81,3038.53,3044.94,9935,20,0
2025-04-09 13:00:00,3044.94,3047.09,3038.17,3043.15,11123,20,0
2025-04-09 14:00:00,3043.12,3068.13,3035.84,3066.65,21167,20,0
2025-04-09 15:00:00,3066.5,3072.98,3042.61,3047.48,22194,20,0
2025-04-09 16:00:00,3047.79,3077.98,3047.24,3075.07,25685,20,0
2025-04-09 17:00:00,3074.94,3084.65,3068.35,3070.42,20364,20,0
2025-04-09 18:00:00,3070.43,3087.71,3065.22,3086.29,16992,20,0
2025-04-09 19:00:00,3086.29,3094.83,3082.57,3092.3,12361,20,0
2025-04-09 20:00:00,3092.48,3099.02,3051.26,3059.97,27684,20,0
2025-04-09 21:00:00,3059.76,3073.54,3048.57,3067.05,21759,20,0
2025-04-09 22:00:00,3067.08,3099.42,3064.18,3093.25,19406,20,0
2025-04-09 23:00:00,3093.18,3095.57,3078.18,3080.12,6491,20,0
2025-04-10 01:00:00,3080.0,3090.03,3071.42,3079.79,4635,25,0
2025-04-10 02:00:00,3080.07,3088.81,3079.41,3086.67,6279,34,0
2025-04-10 03:00:00,3086.68,3101.25,3080.98,3097.38,15292,20,0
2025-04-10 04:00:00,3097.55,3100.61,3078.43,3093.98,19713,20,0
2025-04-10 05:00:00,3093.83,3120.36,3093.78,3119.38,16484,20,0
2025-04-10 06:00:00,3119.2,3131.89,3115.25,3125.34,11497,20,0
2025-04-10 07:00:00,3125.33,3129.35,3121.02,3125.21,6702,20,0
2025-04-10 08:00:00,3125.3,3132.59,3112.56,3122.22,10180,20,0
2025-04-10 09:00:00,3122.32,3126.4,3118.87,3122.06,12796,20,0
2025-04-10 10:00:00,3122.33,3123.51,3106.57,3108.72,14116,20,0
2025-04-10 11:00:00,3108.97,3115.66,3104.6,3104.93,11399,20,0
2025-04-10 12:00:00,3104.96,3117.99,3103.37,3116.76,9773,20,0
2025-04-10 13:00:00,3116.77,3122.47,3114.29,3120.33,9470,20,0
2025-04-10 14:00:00,3120.33,3125.62,3113.21,3124.57,11486,20,0
2025-04-10 15:00:00,3124.34,3133.88,3116.33,3123.04,17908,20,0
2025-04-10 16:00:00,3123.39,3136.69,3116.09,3117.0,20182,20,0
2025-04-10 17:00:00,3116.96,3154.78,3116.75,3154.54,21128,20,0
2025-04-10 18:00:00,3154.54,3174.95,3154.44,3158.0,18729,19,0
2025-04-10 19:00:00,3157.97,3167.13,3154.03,3158.48,17747,20,0
2025-04-10 20:00:00,3158.47,3165.61,3151.53,3162.79,13813,20,0
2025-04-10 21:00:00,3162.78,3175.61,3157.91,3173.36,14210,20,0
2025-04-10 22:00:00,3173.39,3176.2,3167.97,3170.79,10489,20,0
2025-04-10 23:00:00,3170.75,3176.36,3168.49,3174.75,3536,20,0
2025-04-11 01:00:00,3179.34,3190.1,3177.1,3188.83,5264,32,0
2025-04-11 02:00:00,3188.86,3191.19,3183.0,3188.88,6658,25,0
2025-04-11 03:00:00,3188.87,3217.94,3184.9,3205.45,21272,20,0
2025-04-11 04:00:00,3205.31,3219.69,3201.0,3207.25,23951,20,0
2025-04-11 05:00:00,3207.16,3219.75,3205.98,3217.38,15195,20,0
2025-04-11 06:00:00,3217.4,3220.05,3213.99,3217.65,11644,20,0
2025-04-11 07:00:00,3217.65,3218.1,3208.39,3208.48,8729,20,0
2025-04-11 08:00:00,3208.59,3219.16,3187.12,3195.79,17923,20,0
2025-04-11 09:00:00,3195.82,3209.54,3190.12,3197.41,19651,20,0
2025-04-11 10:00:00,3197.13,3212.96,3193.91,3212.31,12913,20,0
2025-04-11 11:00:00,3212.36,3227.24,3208.44,3215.86,17577,20,0
2025-04-11 12:00:00,3215.9,3230.09,3211.82,3227.81,12701,20,0
2025-04-11 13:00:00,3227.8,3237.77,3210.11,3213.04,13272,20,0
2025-04-11 14:00:00,3213.06,3224.78,3211.43,3213.73,11759,20,0
2025-04-11 15:00:00,3213.8,3233.97,3211.06,3233.59,17525,20,0
2025-04-11 16:00:00,3233.77,3244.25,3219.54,3224.07,23980,20,0
2025-04-11 17:00:00,3223.86,3237.87,3222.93,3230.19,22904,20,0
2025-04-11 18:00:00,3230.19,3242.03,3229.47,3240.64,15392,20,0
2025-04-11 19:00:00,3240.67,3245.41,3219.72,3223.32,15613,20,0
2025-04-11 20:00:00,3223.34,3235.46,3223.34,3234.22,14729,20,0
2025-04-11 21:00:00,3234.17,3238.19,3231.06,3235.5,9433,20,0
2025-04-11 22:00:00,3235.51,3235.59,3227.28,3231.13,9083,20,0
2025-04-11 23:00:00,3231.28,3238.29,3230.98,3238.26,3590,20,0
2025-04-14 01:00:00,3221.98,3224.7,3213.65,3221.16,7363,25,0
2025-04-14 02:00:00,3221.15,3224.45,3216.7,3223.79,7021,25,0
2025-04-14 03:00:00,3223.65,3227.31,3219.18,3220.87,9344,20,0
2025-04-14 04:00:00,3220.9,3243.45,3215.28,3239.55,18709,20,0
2025-04-14 05:00:00,3239.41,3245.77,3229.47,3231.88,11480,20,0
2025-04-14 06:00:00,3231.88,3234.6,3226.9,3232.27,6969,20,0
2025-04-14 07:00:00,3232.29,3235.73,3226.1,3227.3,5622,20,0
2025-04-14 08:00:00,3227.24,3236.04,3221.32,3234.34,8978,20,0
2025-04-14 09:00:00,3234.22,3238.07,3228.73,3231.04,11037,20,0
2025-04-14 10:00:00,3231.03,3233.74,3224.77,3228.0,7392,20,0
2025-04-14 11:00:00,3227.99,3230.11,3216.48,3227.04,9995,20,0
2025-04-14 12:00:00,3227.03,3231.7,3220.74,3223.85,7723,20,0
2025-04-14 13:00:00,3223.91,3224.7,3206.25,3215.29,11244,20,0
2025-04-14 14:00:00,3215.18,3225.77,3214.0,3223.35,8432,20,0
2025-04-14 15:00:00,3223.51,3227.64,3200.6,3206.63,14978,20,0
2025-04-14 16:00:00,3206.6,3210.63,3193.49,3204.8,22038,20,0
2025-04-14 17:00:00,3204.53,3215.56,3195.31,3211.1,14428,20,0
2025-04-14 18:00:00,3211.11,3211.22,3196.27,3198.12,13568,20,0
2025-04-14 19:00:00,3198.15,3208.22,3197.67,3207.5,10510,20,0
2025-04-14 20:00:00,3207.56,3216.44,3207.12,3214.03,9653,20,0
2025-04-14 21:00:00,3214.04,3214.84,3201.28,3208.24,7450,20,0
2025-04-14 22:00:00,3208.2,3212.99,3207.68,3212.78,6257,20,0
2025-04-14 23:00:00,3212.89,3213.7,3207.35,3210.99,2883,20,0
2025-04-15 01:00:00,3212.07,3215.01,3210.38,3211.93,2007,39,0
2025-04-15 02:00:00,3211.92,3214.07,3210.29,3212.52,3173,33,0
2025-04-15 03:00:00,3212.44,3215.27,3210.71,3211.89,4595,20,0
2025-04-15 04:00:00,3211.85,3225.89,3209.96,3223.68,11454,20,0
2025-04-15 05:00:00,3223.74,3224.96,3218.61,3224.18,6019,20,0
2025-04-15 06:00:00,3224.09,3229.05,3223.17,3228.38,5872,20,0
2025-04-15 07:00:00,3228.41,3232.54,3226.76,3231.75,4367,20,0
2025-04-15 08:00:00,3231.77,3232.11,3220.69,3224.55,7207,20,0
2025-04-15 09:00:00,3224.55,3228.75,3223.09,3225.16,7337,20,0
2025-04-15 10:00:00,3225.14,3226.61,3217.24,3225.57,7349,20,0
2025-04-15 11:00:00,3225.65,3232.17,3224.29,3227.66,9212,20,0
2025-04-15 12:00:00,3227.67,3230.07,3221.12,3222.57,5206,20,0
2025-04-15 13:00:00,3222.58,3226.93,3219.52,3220.19,4844,20,0
2025-04-15 14:00:00,3220.17,3224.18,3216.68,3220.12,6200,20,0
2025-04-15 15:00:00,3220.12,3226.14,3214.3,3221.47,10870,20,0
2025-04-15 16:00:00,3221.47,3226.33,3211.61,3213.1,15573,20,0
2025-04-15 17:00:00,3213.07,3226.92,3213.07,3222.73,14059,20,0
2025-04-15 18:00:00,3222.74,3224.0,3216.81,3221.29,10449,20,0
2025-04-15 19:00:00,3221.32,3223.42,3219.47,3221.51,7058,20,0
2025-04-15 20:00:00,3221.5,3230.61,3220.39,3227.93,8007,18,0
2025-04-15 21:00:00,3227.92,3229.65,3225.56,3229.1,7315,20,0
2025-04-15 22:00:00,3229.09,3231.8,3226.15,3229.77,6172,20,0
2025-04-15 23:00:00,3229.76,3233.57,3226.4,3230.29,3003,20,0
2025-04-16 01:00:00,3230.78,3242.15,3230.67,3241.28,3066,25,0
2025-04-16 02:00:00,3241.43,3251.83,3238.33,3251.79,5583,20,0
2025-04-16 03:00:00,3251.85,3267.98,3251.64,3264.36,11502,20,0
2025-04-16 04:00:00,3264.36,3275.03,3255.82,3270.09,16052,20,0
2025-04-16 05:00:00,3270.12,3275.38,3266.92,3267.7,9085,20,0
2025-04-16 06:00:00,3267.69,3281.71,3266.15,3281.45,7865,20,0
2025-04-16 07:00:00,3281.45,3287.67,3269.22,3283.67,9096,20,0
2025-04-16 08:00:00,3283.66,3291.82,3283.62,3290.0,9659,20,0
2025-04-16 09:00:00,3289.91,3295.01,3285.93,3291.74,11222,20,0
2025-04-16 10:00:00,3291.79,3300.76,3291.35,3300.42,11262,20,0
2025-04-16 11:00:00,3300.3,3317.91,3288.65,3306.95,19744,20,0
2025-04-16 12:00:00,3306.99,3310.95,3299.93,3303.61,9509,20,0
2025-04-16 13:00:00,3303.63,3306.87,3299.64,3304.14,6829,20,0
2025-04-16 14:00:00,3304.16,3313.63,3293.14,3306.71,11104,20,0
2025-04-16 15:00:00,3306.62,3313.41,3302.4,3307.28,11144,20,0
2025-04-16 16:00:00,3307.25,3316.54,3296.77,3311.54,16190,20,0
2025-04-16 17:00:00,3311.68,3319.46,3306.12,3308.5,15866,20,0
2025-04-16 18:00:00,3308.57,3328.14,3305.32,3325.26,14397,20,0
2025-04-16 19:00:00,3325.28,3332.98,3321.35,3327.35,12286,20,0
2025-04-16 20:00:00,3327.35,3332.75,3324.37,3328.17,11428,20,0
2025-04-16 21:00:00,3328.17,3340.68,3326.33,3338.23,9844,20,0
2025-04-16 22:00:00,3338.28,3342.43,3335.93,3336.66,8451,20,0
2025-04-16 23:00:00,3336.49,3342.26,3334.32,3341.54,4807,20,0
2025-04-17 01:00:00,3348.98,3357.74,3348.98,3351.09,5056,35,0
2025-04-17 02:00:00,3351.16,3353.48,3346.83,3349.96,5722,21,0
2025-04-17 03:00:00,3350.1,3351.2,3341.87,3345.32,9028,20,0
2025-04-17 04:00:00,3345.32,3356.21,3320.77,3323.93,20493,20,0
2025-04-17 05:00:00,3323.85,3340.56,3321.08,3340.36,13485,20,0
2025-04-17 06:00:00,3340.34,3344.5,3337.33,3344.44,7775,20,0
2025-04-17 07:00:00,3344.24,3344.26,3337.87,3341.56,5616,20,0
2025-04-17 08:00:00,3341.62,3345.46,3328.38,3329.28,8029,20,0
2025-04-17 09:00:00,3329.33,3333.04,3325.19,3328.99,13272,20,0
2025-04-17 10:00:00,3328.93,3330.16,3314.32,3323.4,12846,20,0
2025-04-17 11:00:00,3323.43,3325.01,3312.6,3324.24,7860,20,0
2025-04-17 12:00:00,3324.16,3326.91,3320.57,3321.57,6460,20,0
2025-04-17 13:00:00,3321.57,3334.02,3321.1,3327.63,6934,20,0
2025-04-17 14:00:00,3327.64,3332.48,3322.44,3327.44,7729,20,0
2025-04-17 15:00:00,3327.41,3342.34,3322.46,3328.12,12941,20,0
2025-04-17 16:00:00,3328.12,3332.09,3312.01,3315.15,18007,20,0
2025-04-17 17:00:00,3315.04,3315.04,3283.93,3291.32,26271,20,0
2025-04-17 18:00:00,3291.38,3304.88,3290.56,3296.35,17511,20,0
2025-04-17 19:00:00,3296.39,3318.78,3294.88,3316.21,14990,20,0
2025-04-17 20:00:00,3316.2,3322.62,3314.26,3318.9,11153,20,0
2025-04-17 21:00:00,3318.94,3320.85,3314.29,3316.23,6756,20,0
2025-04-17 22:00:00,3316.21,3321.85,3310.95,3320.7,8462,20,0
2025-04-17 23:00:00,3320.73,3328.86,3318.17,3327.82,4427,20,0
