time,date,hour,candle_range,direction,entry,tp,sl,result,reward
2025-04-08 15:15:00,2025-04-08,15,3.119999999999891,SELL,3014.623114285714,3010.57,3018.31,TP,4.053114285713946
2025-04-08 15:35:00,2025-04-08,15,3.4299999999998363,SELL,3010.913342857143,3005.78,3015.58,TP,5.133342857142907
2025-04-08 17:45:00,2025-04-08,17,5.449999999999818,SELL,3016.3236285714283,3011.22,3020.96,TP,5.103628571428544
2025-04-08 17:55:00,2025-04-08,17,3.630000000000109,SELL,3006.0214714285717,3000.68,3010.87,SL,-4.848528571428233
2025-04-09 03:45:00,2025-04-09,3,7.320000000000164,SELL,2979.457757142857,2973.71,2984.68,TP,5.747757142857154
2025-04-09 04:15:00,2025-04-09,4,4.8400000000001455,BUY,2979.907914285714,2986.28,2974.12,TP,6.372085714286186
2025-04-09 05:55:00,2025-04-09,5,2.1399999999998727,BUY,3002.8884642857142,3008.22,2998.04,TP,5.331535714285565
2025-04-09 08:00:00,2025-04-09,8,6.899999999999636,BUY,3005.838435714286,3010.07,3001.99,TP,4.231564285714285
2025-04-09 11:30:00,2025-04-09,11,5.429999999999836,BUY,3040.4570285714285,3045.63,3035.75,TP,5.1729714285716
2025-04-09 11:45:00,2025-04-09,11,3.9400000000000546,BUY,3045.0657285714287,3050.1,3040.49,SL,-4.575728571428954
2025-04-09 12:25:00,2025-04-09,12,4.0099999999997635,BUY,3043.7730500000002,3048.51,3039.47,TP,4.736949999999979
2025-04-09 12:55:00,2025-04-09,12,2.2899999999999636,BUY,3044.9768785714286,3049.03,3041.29,SL,-3.6868785714286787
2025-04-09 13:30:00,2025-04-09,13,4.9900000000002365,BUY,3043.164242857143,3046.93,3039.74,SL,-3.4242428571433265
2025-04-09 14:05:00,2025-04-09,14,4.5,BUY,3041.5178142857144,3045.68,3037.74,TP,4.162185714285442
2025-04-09 16:00:00,2025-04-09,16,4.5,BUY,3048.4020214285715,3056.32,3041.2,TP,7.917978571428648
2025-04-09 16:10:00,2025-04-09,16,4.730000000000018,BUY,3056.9202785714283,3064.65,3049.89,TP,7.729721428571793
2025-04-09 18:00:00,2025-04-09,18,4.4699999999998,BUY,3067.440964285714,3073.05,3062.34,TP,5.609035714286165
2025-04-09 20:05:00,2025-04-09,20,4.539999999999964,BUY,3084.959557142857,3089.31,3081.0,TP,4.3504428571427525
2025-04-10 03:00:00,2025-04-10,3,7.710000000000036,BUY,3082.374757142857,3086.2,3078.9,TP,3.8252428571427117
2025-04-10 04:45:00,2025-04-10,4,6.209999999999582,BUY,3089.2659714285714,3095.42,3083.67,TP,6.154028571428626
2025-04-10 09:00:00,2025-04-10,9,2.369999999999891,BUY,3123.7792857142854,3128.1,3119.85,SL,-3.92928571428547
2025-04-10 14:20:00,2025-04-10,14,2.0599999999999454,BUY,3117.55445,3121.34,3114.11,TP,3.7855500000000575
2025-04-10 15:35:00,2025-04-10,15,8.58999999999969,BUY,3117.2855857142854,3122.3,3112.73,TP,5.014414285714793
2025-04-10 19:15:00,2025-04-10,19,5.139999999999873,BUY,3157.0442428571428,3164.11,3150.62,TP,7.065757142857365
2025-04-10 19:30:00,2025-04-10,19,5.429999999999836,BUY,3163.0965642857145,3170.42,3156.44,SL,-6.656564285714467
2025-04-10 20:35:00,2025-04-10,20,3.3099999999999454,BUY,3162.0240285714285,3166.87,3157.62,TP,4.845971428571374
2025-04-11 03:05:00,2025-04-11,3,2.4200000000000728,BUY,3185.749128571428,3188.95,3182.84,TP,3.200871428571645
2025-04-11 08:15:00,2025-04-11,8,8.13000000000011,BUY,3215.525307142857,3219.41,3211.99,SL,-3.535307142857164
2025-04-11 09:30:00,2025-04-11,9,5.3400000000001455,BUY,3200.6119714285715,3208.53,3193.41,TP,7.918028571428749
2025-04-11 12:30:00,2025-04-11,12,4.519999999999982,BUY,3216.2991071428573,3221.7,3211.39,TP,5.40089285714248
2025-04-11 14:00:00,2025-04-11,14,7.039999999999964,BUY,3216.8415214285715,3222.51,3211.69,TP,5.66847857142875
2025-04-11 14:10:00,2025-04-11,14,5.360000000000127,BUY,3221.1746214285713,3227.18,3215.71,SL,-5.464621428571263
2025-04-11 15:15:00,2025-04-11,15,5.0900000000001455,BUY,3218.2387642857143,3223.6,3213.36,TP,5.361235714285613
2025-04-11 17:00:00,2025-04-11,17,9.38000000000011,BUY,3226.214942857143,3234.46,3218.72,TP,8.24505714285715
2025-04-11 17:35:00,2025-04-11,17,8.41000000000031,BUY,3224.29185,3233.3,3216.11,TP,9.008150000000114
2025-04-11 20:30:00,2025-04-11,20,7.230000000000018,BUY,3234.1802142857146,3239.7,3229.16,SL,-5.020214285714701
2025-04-14 04:15:00,2025-04-14,4,4.200000000000273,BUY,3220.1145857142856,3223.92,3216.66,TP,3.8054142857145052
2025-04-15 09:15:00,2025-04-15,9,3.449999999999818,BUY,3226.887885714286,3229.96,3224.1,SL,-2.787885714285949
2025-04-15 10:45:00,2025-04-15,10,3.3900000000003274,BUY,3219.624514285714,3222.32,3217.17,TP,2.695485714285951
2025-04-15 15:10:00,2025-04-15,15,3.3200000000001637,BUY,3223.682557142857,3226.16,3221.43,SL,-2.252557142857313
2025-04-15 17:15:00,2025-04-15,17,3.949999999999818,BUY,3222.7194357142857,3227.06,3218.78,SL,-3.939435714285537
2025-04-15 18:45:00,2025-04-15,18,2.1400000000003274,BUY,3220.546421428571,3223.45,3217.9,TP,2.903578571428625
2025-04-16 05:10:00,2025-04-16,5,3.0099999999997635,BUY,3271.516507142857,3276.63,3266.87,SL,-4.64650714285699
2025-04-16 06:10:00,2025-04-16,6,2.0799999999999272,BUY,3271.9816285714282,3275.46,3268.82,SL,-3.161628571428082
2025-04-16 07:30:00,2025-04-16,7,3.4400000000000546,BUY,3270.8879,3273.96,3268.1,TP,3.072099999999864
2025-04-16 09:40:00,2025-04-16,9,4.889999999999873,BUY,3288.9504857142856,3292.3,3285.9,TP,3.3495142857145765
2025-04-16 12:20:00,2025-04-16,12,3.9299999999998363,BUY,3307.4820214285714,3315.4,3300.28,SL,-7.202021428571243
2025-04-16 13:15:00,2025-04-16,13,3.200000000000273,BUY,3302.3729214285718,3305.99,3299.08,TP,3.61707857142801
2025-04-16 14:30:00,2025-04-16,14,5.210000000000036,BUY,3299.2948714285717,3303.13,3295.81,TP,3.835128571428413
2025-04-16 16:50:00,2025-04-16,16,5.3100000000004,BUY,3310.100942857143,3315.7,3305.01,TP,5.599057142856964
2025-04-16 18:05:00,2025-04-16,18,8.440000000000055,BUY,3307.2011142857145,3312.82,3302.09,TP,5.618885714285625
2025-04-16 20:30:00,2025-04-16,20,5.7800000000002,BUY,3330.052035714286,3333.58,3326.85,SL,-3.202035714286012
2025-04-17 04:00:00,2025-04-17,4,5.0,BUY,3346.7812285714285,3351.32,3342.66,TP,4.538771428571636
2025-04-17 14:45:00,2025-04-17,14,2.180000000000291,BUY,3324.8092142857145,3328.02,3321.89,TP,3.210785714285521
